Medicamento,Comercializado,Especie de destino
AEROFAR,SI,Perros
CLAVUBAY 500 mg COMPRIMIDOS SABOR PARA PERROS,NO,Perros
CLAVUBAY 500 mg COMPRIMIDOS SABOR PARA PERROS,NO,Perros
CLAVUBAY 500 mg COMPRIMIDOS SABOR PARA PERROS,NO,Perros
CLAVUBAY 500 mg COMPRIMIDOS SABOR PARA PERROS,NO,Perros
ADOEQMINA 10 mg/ml SOLUCION CUTANEA # ADOEQMINA,SI,Gatos
LOXICOM 5 mg/ml SOLUCION INYECTABLE PARA PERROS Y GATOS,NO,Perros
LOXICOM 5 mg/ml SOLUCION INYECTABLE PARA PERROS Y GATOS,SI,Perros
LOXICOM 5 mg/ml SOLUCION INYECTABLE PARA PERROS Y GATOS,NO,Perros
ALSIR 50 mg/ml SOLUCION INYECTABLE # ALSIR 5% SOLUCION INYECTABLE,NO,Perros
ALSIR 50 mg/ml SOLUCION INYECTABLE # ALSIR 5% SOLUCION INYECTABLE,NO,Perros
ALSIR 50 mg/ml SOLUCION INYECTABLE # ALSIR 5% SOLUCION INYECTABLE,NO,Perros
ALUSPRAY,SI,Perros
ANTISEDAN,SI,Perros
ATOPICA 100 mg CAPSULAS BLANDAS PARA PERROS,NO,Perros
ATOPICA 100 mg CAPSULAS BLANDAS PARA PERROS,SI,Perros
ATOPICA 100 mg CAPSULAS BLANDAS PARA PERROS,SI,Perros
ATOPICA 50 mg CAPSULAS BLANDAS PARA PERROS,NO,Perros
ATOPICA 50 mg CAPSULAS BLANDAS PARA PERROS,SI,Perros
ATOPICA 50 mg CAPSULAS BLANDAS PARA PERROS,SI,Perros
BAS DEXTRAN SALINO USO VETERINARIO,SI,Perros
BETAMOX LA,NO,Perros
BETAMOX LA,NO,Perros
BETAMOX LA,NO,Perros
"BAYTRIL 25 mg/ml SOLUCION INYECTABLE # BAYTRIL 2,5% SOLUCION INYECTABLE",SI,Gatos
BAYTRIL SABOR 15 mg COMPRIMIDOS,SI,Perros
BAYTRIL SABOR 15 mg COMPRIMIDOS,SI,Gatos
BAYTRIL SABOR 15 mg COMPRIMIDOS,NO,Perros
BAYTRIL SABOR 15 mg COMPRIMIDOS,NO,Perros
BAYTRIL SABOR 15 mg COMPRIMIDOS,NO,Gatos
BAYTRIL SABOR 15 mg COMPRIMIDOS,NO,Perros
BAYTRIL SABOR 50 mg COMPRIMIDOS,SI,Perros
BAYTRIL SABOR 50 mg COMPRIMIDOS,SI,Gatos
BAYTRIL SABOR 50 mg COMPRIMIDOS,NO,Perros
BAYTRIL SABOR 50 mg COMPRIMIDOS,NO,Perros
BISEPTYL,SI,Perros
BISEPTYL,SI,Perros
BISEPTYL,SI,Perros
BISEPTYL,SI,Perros
BOLFO SPRAY,SI,Perros
CLOMICALM 5 mg COMPRIMIDOS PARA  PERROS,SI,Perros
CALMIVET,NO,Gatos
CALMIVET,SI,Gatos
CALMIVET,NO,Perros
CALMIVET,NO,Perros
CANITENOL-BT 50 mg COMPRIMIDOS # CANITENOL-BT,SI,Perros
CANITENOL-BT 50 mg COMPRIMIDOS # CANITENOL-BT,SI,Gatos
CANITENOL-BT 50 mg COMPRIMIDOS # CANITENOL-BT,SI,Perros
CANITENOL-BT 50 mg COMPRIMIDOS # CANITENOL-BT,SI,Perros
CANITENOL-BT 50 mg COMPRIMIDOS # CANITENOL-BT,SI,Gatos
BENAZECARE SABOR 5 mg COMPRIMIDOS PARA PERROS Y GATOS,NO,Gatos
BENAZECARE SABOR 5 mg COMPRIMIDOS PARA PERROS Y GATOS,SI,Gatos
BENAZECARE SABOR 5 mg COMPRIMIDOS PARA PERROS Y GATOS,NO,Perros
BENAZECARE SABOR 5 mg COMPRIMIDOS PARA PERROS Y GATOS,SI,Perros
"BUPRECARE 0,3 mg/ml SOLUCION INYECTABLE PARA PERROS Y GATOS",NO,Perros
"CAPSTAR 11,4 mg COMPRIMIDOS PARA GATOS Y PERROS PEQUEÑOS",SI,Perros
"CAPSTAR 11,4 mg COMPRIMIDOS PARA GATOS Y PERROS PEQUEÑOS",NO,Perros
BENAZECARE SABOR 20 mg COMPRIMIDOS PARA PERROS,NO,Perros
BENAZECARE SABOR 20 mg COMPRIMIDOS PARA PERROS,SI,Perros
BENAZECARE SABOR 20 mg COMPRIMIDOS PARA PERROS,NO,Perros
BENAZECARE SABOR 20 mg COMPRIMIDOS PARA PERROS,SI,Perros
CLOMICALM 20 mg COMPRIMIDOS PARA PERROS,SI,Perros
CLOMICALM 80 mg COMPRIMIDOS PARA PERROS,SI,Perros
FISIOVET SOLUCION INYECTABLE # FISIOLOGICO SOLUCION INYECTABLE BRAUN USO VETERINARIO,NO,Gatos
FISIOVET SOLUCION INYECTABLE # FISIOLOGICO SOLUCION INYECTABLE BRAUN USO VETERINARIO,SI,Gatos
FISIOVET SOLUCION INYECTABLE # FISIOLOGICO SOLUCION INYECTABLE BRAUN USO VETERINARIO,SI,Perros
CEPHACARE SABOR 50 mg COMPRIMIDOS PARA GATOS Y PERROS,SI,Perros
CEPHACARE SABOR 50 mg COMPRIMIDOS PARA GATOS Y PERROS,NO,Gatos
ENROX SABOR 15 mg COMPRIMIDOS PARA PERROS Y GATOS,SI,Gatos
ENROX SABOR 15 mg COMPRIMIDOS PARA PERROS Y GATOS,NO,Perros
"PANACUR PASTA ORAL 187,5 mg/g PARA PERROS Y GATOS",NO,Perros
"PANACUR PASTA ORAL 187,5 mg/g PARA PERROS Y GATOS",SI,Gatos
NICILAN 40 mg/10 mg COMPRIMIDOS PARA PERROS Y GATOS,SI,Perros
NICILAN 40 mg/10 mg COMPRIMIDOS PARA PERROS Y GATOS,NO,Perros
NICILAN 40 mg/10 mg COMPRIMIDOS PARA PERROS Y GATOS,SI,Perros
NICILAN 40 mg/10 mg COMPRIMIDOS PARA PERROS Y GATOS,NO,Perros
CLORURO DE POTASIO 149 mg/ml (2M) MINIPLASCO BRAUN USO VETERINARIO,NO,Perros
CLORURO DE POTASIO 149 mg/ml (2M) MINIPLASCO BRAUN USO VETERINARIO,NO,Perros
CLORURO DE POTASIO 149 mg/ml (2M) MINIPLASCO BRAUN USO VETERINARIO,SI,Perros
CLORVIOGEN LAMONS,SI,Gatos
RONAXAN 20 mg COMPRIMIDOS # RONAXAN COMPRIMIDOS 20,SI,Gatos
"CORTEXONA RETARD 1,25 mg/ml SUSPENSION INYECTABLE",SI,Perros
"CORTEXONA RETARD 1,25 mg/ml SUSPENSION INYECTABLE",SI,Perros
REVERTOR 5 mg/ml SOLUCION INYECTABLE PARA PERROS Y GATOS,SI,Perros
REVERTOR 5 mg/ml SOLUCION INYECTABLE PARA PERROS Y GATOS,SI,Perros
REVERTOR 5 mg/ml SOLUCION INYECTABLE PARA PERROS Y GATOS,SI,Gatos
ALSIR 50 mg COMPRIMIDOS,NO,Perros
ALSIR 50 mg COMPRIMIDOS,NO,Gatos
ALSIR 50 mg COMPRIMIDOS,NO,Perros
ALSIR 50 mg COMPRIMIDOS,NO,Perros
ALSIR 50 mg COMPRIMIDOS,NO,Perros
ALSIR 50 mg COMPRIMIDOS,NO,Perros
DEYANIL RETARD,SI,Perros
DEYANIL RETARD,SI,Perros
DOLETHAL,SI,Perros
DOLETHAL,NO,Perros
DOMTOR,SI,Perros
DEPO-MODERIN,SI,Perros
DEPO-MODERIN,NO,Perros
DRONCIT 50 mg COMPRIMIDOS # DRONCIT COMPRIMIDOS,NO,Perros
DRONCIT 50 mg COMPRIMIDOS # DRONCIT COMPRIMIDOS,SI,Perros
DRONCIT 50 mg COMPRIMIDOS # DRONCIT COMPRIMIDOS,SI,Perros
LINCO-SPECTIN SOLUCION ESTERIL # LINCO SPECTIN SOLUCION ESTERIL,NO,Perros
LINCO-SPECTIN SOLUCION ESTERIL # LINCO SPECTIN SOLUCION ESTERIL,NO,Perros
LINCO-SPECTIN SOLUCION ESTERIL # LINCO SPECTIN SOLUCION ESTERIL,SI,Perros
LINCO-SPECTIN SOLUCION ESTERIL # LINCO SPECTIN SOLUCION ESTERIL,NO,Perros
LINCO-SPECTIN SOLUCION ESTERIL # LINCO SPECTIN SOLUCION ESTERIL,NO,Perros
LINCO-SPECTIN SOLUCION ESTERIL # LINCO SPECTIN SOLUCION ESTERIL,NO,Perros
FORTEKOR SABOR 20 mg COMPRIMIDOS PARA PERROS # FORTEKOR SABOR 20 mg,SI,Perros
FORTEKOR SABOR 20 mg COMPRIMIDOS PARA PERROS # FORTEKOR SABOR 20 mg,SI,Perros
FORTEKOR SABOR 20 mg COMPRIMIDOS PARA PERROS # FORTEKOR SABOR 20 mg,NO,Perros
FORTEKOR SABOR 20 mg COMPRIMIDOS PARA PERROS # FORTEKOR SABOR 20 mg,SI,Perros
ERES POLVO PARA ADMINISTRACION EN AGUA DE BEBIDA,NO,Perros
ERES POLVO PARA ADMINISTRACION EN AGUA DE BEBIDA,NO,Perros
ERES INYECTABLE,SI,Gatos
EUTANAX,NO,Perros
ONSIOR 6 mg COMPRIMIDOS PARA GATOS,NO,Gatos
NOROCLAV 175 mg SUSPENSION INYECTABLE,SI,Perros
NOROCLAV 175 mg SUSPENSION INYECTABLE,SI,Perros
FISIOVET SOLUCION PARA PERFUSION # FISIOLOGICO SOLUCION PARA PERFUSION BRAUN USO VETERINARIO,NO,Gatos
FISIOVET SOLUCION PARA PERFUSION # FISIOLOGICO SOLUCION PARA PERFUSION BRAUN USO VETERINARIO,NO,Gatos
FISIOVET SOLUCION PARA PERFUSION # FISIOLOGICO SOLUCION PARA PERFUSION BRAUN USO VETERINARIO,SI,Perros
FISIOVET SOLUCION PARA PERFUSION # FISIOLOGICO SOLUCION PARA PERFUSION BRAUN USO VETERINARIO,NO,Perros
FISIOVET SOLUCION PARA PERFUSION # FISIOLOGICO SOLUCION PARA PERFUSION BRAUN USO VETERINARIO,NO,Gatos
FLUBENOL PASTA ORAL,NO,Gatos
METACAM 5 MG/ML SOLUCION INYECTABLE PARA PERROS Y GATOS,SI,Perros
"METACAM 0,5 mg/ml SUSPENSION ORAL GATOS Y COBAYAS",SI,Gatos
"FORTEKOR SABOR 2,5 mg COMPRIMIDOS PARA GATOS Y PERROS # FORTEKOR SABOR 2,5 mg",NO,Gatos
"FORTEKOR SABOR 2,5 mg COMPRIMIDOS PARA GATOS Y PERROS # FORTEKOR SABOR 2,5 mg",SI,Gatos
